,model,prompt_method,sample_size,n_samples,KL Divergence,Wasserstein,MMD
356,llama2:13b,recursive_criticism_and_improvement,rs_size_5,160,27.5331145399136,0.4451487972694103,0.2974902044743477
420,llama3:70b,rephrase_and_respond,rs_size_50,374,27.57443499900757,0.26454238508034994,0.1483978091757776
430,llama3:70b,self_consistency,rs_size_25,78,27.60604493757847,0.12370458369215462,0.05511042999897087
20,claude-3-5-sonnet-20240620,emotion_prompt,rs_size_150,375,27.609586307798537,0.41636280839329254,0.47372932380044064
231,gpt-3.5-turbo-0125,recursive_criticism_and_improvement,rs_size_150,373,27.627645776379946,0.25512575544233135,0.4556990892607793
5,claude-3-5-sonnet-20240620,chain_of_thought,rs_size_50,375,27.70279106628741,0.06713747193828942,0.008778577223911288
211,gpt-3.5-turbo-0125,emotion_prompt,rs_size_10,370,27.74733279878341,0.18384765344768922,0.1592126719017286
92,claude-3-sonnet-20240229,emotion_prompt,rs_size_150,372,27.77591784199888,0.567934128787078,0.5169061103587508
142,claude-3-sonnet-20240229,step_back_prompting,rs_size_5,212,27.813134965161638,0.9470161202990968,0.38847348938729276
506,llama3:8b,skeleton_of_thought,rs_size_150,291,27.848337439000844,0.17009438594032772,0.05912450132311897
243,gpt-3.5-turbo-0125,reverse_prompting,rs_size_25,246,27.95458811865183,0.13293615247420523,0.02195711003111711
256,gpt-3.5-turbo-0125,skeleton_of_thought,rs_size_5,363,28.06610551643292,0.5449257566535043,0.41257416444777373
305,gpt-4o,rephrase_and_respond,rs_size_10,375,28.111563909896365,0.1488060644442593,0.06467363982648999
201,gpt-3.5-turbo-0125,chain_of_verification,rs_size_150,175,28.123960607987012,0.25120748707620894,0.31519359789430734
365,llama2:13b,self_consistency,rs_size_10,116,28.25702830926137,0.0929446258952467,0.03794003094229015
485,llama3:8b,recursive_criticism_and_improvement,rs_size_50,32,28.30910543615156,0.27863674486395584,0.11871922648631172
232,gpt-3.5-turbo-0125,recursive_criticism_and_improvement,rs_size_25,364,28.31150303529575,0.10016816084597245,0.05861796100956429
513,llama3:8b,step_back_prompting,rs_size_25,18,28.338126678376625,0.09073438137849367,0.027604108204296374
80,claude-3-sonnet-20240229,chain_of_verification,rs_size_150,375,28.39839786064276,0.2641815739734374,0.14185039934594323
508,llama3:8b,skeleton_of_thought,rs_size_5,268,28.48370826907454,0.6313128868030394,0.46771411742387464
117,claude-3-sonnet-20240229,rephrase_and_respond,rs_size_25,375,28.56942729928581,0.13492052487970893,0.09682590671671631
353,llama2:13b,least_to_most,rs_size_5,71,28.60063043261353,0.5379618162893979,0.301940151470822
99,claude-3-sonnet-20240229,generated_knowledge,rs_size_25,375,28.71767196405691,0.062270392259065596,0.010801970342340761
219,gpt-3.5-turbo-0125,generated_knowledge,rs_size_150,359,28.74735752883566,0.27481216481332854,0.23346077014015554
599,mixtral:8x22b,emotion_prompt,rs_size_100,277,28.81130240375819,0.5146731573540932,0.47598872284795957
473,llama3:8b,generated_knowledge,rs_size_50,323,28.81531808408355,0.19965639736636903,0.04827314760789747
228,gpt-3.5-turbo-0125,least_to_most,rs_size_50,342,28.884136875185455,0.136742064679757,0.045281196197238804
301,gpt-4o,recursive_criticism_and_improvement,rs_size_150,347,28.908060811792023,0.21263382486568916,0.14547451038292247
555,mistral:7b,rephrase_and_respond,rs_size_10,46,28.941004446771263,0.2289242107252453,0.16911758320043457
225,gpt-3.5-turbo-0125,least_to_most,rs_size_150,363,28.94399949297425,0.19577496268264413,0.17002938359611353
717,phi3:mini-128k,step_back_prompting,rs_size_50,3,28.964278010643586,0.385747680317183,0.17454646268337504
621,mixtral:8x22b,recursive_criticism_and_improvement,rs_size_50,237,29.076869139106496,0.11293838816149424,0.05737117876647835
496,llama3:8b,reverse_prompting,rs_size_5,205,29.183552121319593,0.48846535939244173,0.3264882387956505
95,claude-3-sonnet-20240229,emotion_prompt,rs_size_50,375,29.221850587104147,0.4200931815464237,0.4858313874710998
619,mixtral:8x22b,recursive_criticism_and_improvement,rs_size_25,280,29.24396153070729,0.08811906068069454,0.038529080500965485
262,gpt-3.5-turbo-0125,step_back_prompting,rs_size_5,367,29.29303046768306,0.08441206831017985,0.050836014188389234
675,phi3:medium-128k,recursive_criticism_and_improvement,rs_size_5,293,29.444946626580844,0.5449069147160432,0.4187193598091571
680,phi3:medium-128k,reverse_prompting,rs_size_10,81,29.542211086415882,0.22643402360232143,0.18040197521559365
472,llama3:8b,generated_knowledge,rs_size_5,297,29.583872499454483,0.9518983224738194,0.6037616694548008
674,phi3:medium-128k,recursive_criticism_and_improvement,rs_size_25,280,29.681910406019714,0.1015272864031094,0.029173792369161067
237,gpt-3.5-turbo-0125,rephrase_and_respond,rs_size_150,369,29.687082561866085,0.45428266392700273,0.453138815935875
289,gpt-4o,generated_knowledge,rs_size_150,350,29.702273582233747,0.17407662817495906,0.12825469527967592
395,llama3:70b,emotion_prompt,rs_size_5,366,29.75197475060521,0.7824176284259956,0.5439726857220687
672,phi3:medium-128k,least_to_most,rs_size_5,325,29.753426292902898,0.3863730234319528,0.26418716702053424
593,mixtral:8x22b,directional_stimuli,rs_size_100,320,29.795399863833385,0.41730799110363453,0.28504274332691837
658,phi3:medium-128k,chain_of_verification,rs_size_5,168,29.929314727527863,0.6328782731074023,0.4746631429919663
537,mistral:7b,emotion_prompt,rs_size_5,91,29.93921084426532,0.41543348247105244,0.29720599561272
222,gpt-3.5-turbo-0125,generated_knowledge,rs_size_50,368,30.005840980359153,0.14279102742064503,0.06538964941886727
466,llama3:8b,emotion_prompt,rs_size_5,272,30.030604671350417,1.0604434610749744,0.5704793480820861
474,llama3:8b,least_to_most,rs_size_10,43,30.123560104319836,0.23638616966851891,0.11286528241355454
501,llama3:8b,self_consistency,rs_size_25,295,30.1472783019302,0.095292390336471,0.03366209884467408
261,gpt-3.5-turbo-0125,step_back_prompting,rs_size_25,346,30.230267676126225,0.07567469500797368,0.025938802233625102
208,gpt-3.5-turbo-0125,directional_stimuli,rs_size_25,366,30.290547202268193,0.18915070851346247,0.14520642013972584
198,gpt-3.5-turbo-0125,chain_of_thought,rs_size_50,204,30.372305884312333,0.13322099440087581,0.07601925711308621
388,llama3:70b,directional_stimuli,rs_size_25,241,30.451517302363584,0.11858949618229676,0.05452843420617426
639,mixtral:8x22b,self_consistency,rs_size_50,373,30.473517431636303,0.10482086930197469,0.030119703953034538
10,claude-3-5-sonnet-20240620,chain_of_verification,rs_size_5,375,30.47921010586962,0.05571478206593602,0.011575106259584356
157,gemma:7b,emotion_prompt,rs_size_25,19,30.567486325270753,0.07047061727793245,0.01472601954952446
549,mistral:7b,least_to_most,rs_size_50,27,30.613108148669106,0.0990393091116439,0.01587628212391423
448,llama3:8b,chain_of_thought,rs_size_5,222,30.637192951597186,1.0636745109212309,0.5919808823933401
432,llama3:70b,self_consistency,rs_size_50,200,30.735170249893866,0.19309372725107668,0.12194490644642975
363,llama2:13b,reverse_prompting,rs_size_25,20,30.773141520045534,0.05399965826044576,0.006682941405863563
470,llama3:8b,generated_knowledge,rs_size_150,326,30.827771052102346,0.2492292114024422,0.12585172420588164
708,phi3:mini-128k,recursive_criticism_and_improvement,rs_size_50,12,30.85444674266584,0.881443039069674,0.31576637262153473
446,llama3:8b,chain_of_thought,rs_size_150,143,30.94718683767867,0.6045302178598677,0.3566900029615987
60,claude-3-5-sonnet-20240620,skeleton_of_thought,rs_size_10,375,31.019279779155564,0.062878145482074,0.013917088309534087
613,mixtral:8x22b,least_to_most,rs_size_25,254,31.02273615103254,0.06586663498130656,0.018049515980448794
66,claude-3-5-sonnet-20240620,step_back_prompting,rs_size_10,375,31.052358322949246,0.04672891020733788,0.011414819805058318
433,llama3:70b,skeleton_of_thought,rs_size_10,55,31.27336780682283,0.14331244753705644,0.09057356041201281
238,gpt-3.5-turbo-0125,rephrase_and_respond,rs_size_25,373,31.289251336097117,0.1318715642011184,0.10988898715414175
490,llama3:8b,rephrase_and_respond,rs_size_5,302,31.42507327629819,1.0525310877416305,0.6941094139317004
69,claude-3-5-sonnet-20240620,step_back_prompting,rs_size_25,375,31.436923111113234,0.05851479011466049,0.013074227269834982
512,llama3:8b,step_back_prompting,rs_size_150,10,31.454843474725646,0.25886825647209727,0.1334523262721492
572,mistral:7b,skeleton_of_thought,rs_size_10,69,31.465268444772015,0.18010130019558288,0.07838062057722794
383,llama3:70b,chain_of_verification,rs_size_5,90,31.500944937444117,1.1089034566141047,0.44391907993838037
215,gpt-3.5-turbo-0125,emotion_prompt,rs_size_5,371,31.578952992576312,0.4020093400074188,0.23345126307147124
403,llama3:70b,least_to_most,rs_size_10,43,31.633192170936418,0.15238231794693782,0.13229336408389747
480,llama3:8b,recursive_criticism_and_improvement,rs_size_10,39,31.648327223334363,0.18680234009437577,0.08159291841490846
578,mistral:7b,step_back_prompting,rs_size_5,41,31.71151146232407,1.2166429406270294,0.24211961855662645
30,claude-3-5-sonnet-20240620,least_to_most,rs_size_10,375,31.76832423898547,0.049981212219194666,0.0064291609038942266
76,claude-3-sonnet-20240229,chain_of_thought,rs_size_5,50,31.812876992852182,0.08902583074175079,0.02252254640395135
354,llama2:13b,recursive_criticism_and_improvement,rs_size_10,57,31.827544505141937,0.2914448247442944,0.06247344889401485
637,mixtral:8x22b,self_consistency,rs_size_25,302,31.83861066605726,0.054350645704746195,0.011210636110806638
488,llama3:8b,rephrase_and_respond,rs_size_150,291,31.850245900108746,0.5761685084968289,0.42215697373649574
693,phi3:medium-128k,step_back_prompting,rs_size_5,299,31.870483242768422,0.6777222109061282,0.5349386859020404
46,claude-3-5-sonnet-20240620,rephrase_and_respond,rs_size_5,375,31.952507693523163,0.06571239700339242,0.013113591451266338
90,claude-3-sonnet-20240229,emotion_prompt,rs_size_10,375,31.995993350867156,0.21980911252569882,0.18700385644784578
320,gpt-4o,self_consistency,rs_size_25,374,32.030703903667714,0.044698680065687384,0.004365221965230814
415,llama3:70b,rephrase_and_respond,rs_size_10,294,32.08942155907581,0.18381279673604942,0.1437120809915482
464,llama3:8b,emotion_prompt,rs_size_150,321,32.12380087367716,0.37807210097197114,0.2886223474590992
662,phi3:medium-128k,directional_stimuli,rs_size_5,250,32.14808406640664,0.7171244699960103,0.5285523809786863
661,phi3:medium-128k,directional_stimuli,rs_size_25,323,32.21518752828437,0.10418976098272019,0.02689571197786056
437,llama3:70b,skeleton_of_thought,rs_size_50,125,32.21598094581026,0.2235672660600858,0.14503055918131413
590,mixtral:8x22b,chain_of_verification,rs_size_5,174,32.26993959362069,0.42437220252942437,0.2128375754954589
389,llama3:70b,directional_stimuli,rs_size_5,100,32.27045622256479,0.9416897222069023,0.4734762709652242
9,claude-3-5-sonnet-20240620,chain_of_verification,rs_size_25,375,32.33780721651384,0.06741675537250094,0.0203933852190481
678,phi3:medium-128k,rephrase_and_respond,rs_size_5,327,32.37118192072656,0.5814600587900384,0.48270441748788007
559,mistral:7b,rephrase_and_respond,rs_size_5,166,32.41566671655639,0.28008503199853724,0.22584792309755186
88,claude-3-sonnet-20240229,directional_stimuli,rs_size_5,359,32.4269110755254,0.14815250005014421,0.08546925524334559
630,mixtral:8x22b,reverse_prompting,rs_size_150,288,32.44770307779501,0.37233471415565184,0.3234675980528765
628,mixtral:8x22b,reverse_prompting,rs_size_10,75,32.529706546420954,0.17687686486295698,0.14715323589399154
668,phi3:medium-128k,generated_knowledge,rs_size_5,300,32.53608151007614,0.572464920528561,0.4067962644790031
54,claude-3-5-sonnet-20240620,self_consistency,rs_size_10,375,32.698540325538616,0.052584454123149285,0.009394433454306794
560,mistral:7b,rephrase_and_respond,rs_size_50,211,32.737745884769964,0.1572461640343388,0.0745708656921682
370,llama2:13b,step_back_prompting,rs_size_10,139,32.73817492262903,0.12566028338883836,0.06906269472367277
287,gpt-4o,generated_knowledge,rs_size_10,375,32.77766445189041,0.1574990848010381,0.09682297695441755
51,claude-3-5-sonnet-20240620,reverse_prompting,rs_size_25,375,32.78531312648318,0.05210975523904832,0.011524816123245296
491,llama3:8b,rephrase_and_respond,rs_size_50,301,32.823889624567585,0.2197566935738366,0.04393989486348837
535,mistral:7b,emotion_prompt,rs_size_150,74,32.852448764415215,1.0588217956569144,0.3373377831808919
42,claude-3-5-sonnet-20240620,rephrase_and_respond,rs_size_10,375,32.86732663540552,0.06190764233594564,0.019507791447612277
45,claude-3-5-sonnet-20240620,rephrase_and_respond,rs_size_25,375,32.872848030644604,0.07191482252520125,0.021966419424150452
580,mixtral:8x22b,chain_of_thought,rs_size_10,131,32.879932429945924,0.13122856774406508,0.08541484695600454
397,llama3:70b,generated_knowledge,rs_size_10,221,32.91736141644307,0.17998549300994746,0.13319626205111246
625,mixtral:8x22b,rephrase_and_respond,rs_size_25,322,32.99854978339621,0.07939098859601522,0.026359229134608197
654,phi3:medium-128k,chain_of_thought,rs_size_5,102,33.079577123003396,0.7005230924140188,0.7050345325884464
457,llama3:8b,directional_stimuli,rs_size_100,147,33.0888603045856,0.2622426628602418,0.2949334460030938
204,gpt-3.5-turbo-0125,chain_of_verification,rs_size_50,243,33.101909698289795,0.1674216312351759,0.07990278308032184
665,phi3:medium-128k,emotion_prompt,rs_size_5,371,33.1333376076148,0.8083483573782703,0.5487405412867347
649,mixtral:8x22b,step_back_prompting,rs_size_25,297,33.26203123961471,0.10438298040307441,0.04763825171945402
216,gpt-3.5-turbo-0125,emotion_prompt,rs_size_50,361,33.313372894202764,0.48019918771008163,0.39260427025924227
427,llama3:70b,self_consistency,rs_size_10,117,33.362312046228425,0.11196017903113613,0.05224552699065388
84,claude-3-sonnet-20240229,directional_stimuli,rs_size_10,375,33.39837775439735,0.34739625801618984,0.34434417782685645
651,mixtral:8x22b,step_back_prompting,rs_size_50,338,33.50859498495088,0.13674876455928217,0.04420816688136009
645,mixtral:8x22b,skeleton_of_thought,rs_size_50,292,33.52300222947539,0.12868157053737114,0.0496834801405972
667,phi3:medium-128k,generated_knowledge,rs_size_25,375,33.58782343576289,0.07139011385463712,0.018636956694853213
477,llama3:8b,least_to_most,rs_size_25,68,33.59335534378284,0.04913606930993547,0.005748323672887468
571,mistral:7b,self_consistency,rs_size_50,138,33.601295956334305,0.1281026963432864,0.019208788617171457
321,gpt-4o,self_consistency,rs_size_5,374,33.61985314642292,0.20692235886936886,0.07436817351357883
418,llama3:70b,rephrase_and_respond,rs_size_25,339,33.7107998563453,0.11157616136900336,0.056329662921581036
471,llama3:8b,generated_knowledge,rs_size_25,296,33.71970226777246,0.07149784961903406,0.018146933341554705
583,mixtral:8x22b,chain_of_thought,rs_size_25,249,33.76568577152186,0.10319665428400723,0.04434014161485167
604,mixtral:8x22b,generated_knowledge,rs_size_10,291,33.78652673803985,0.21102905088719298,0.20346918633851319
550,mistral:7b,recursive_criticism_and_improvement,rs_size_10,48,33.845798459347684,0.3169443469961057,0.06359362576794036
407,llama3:70b,least_to_most,rs_size_5,48,33.87338723728921,0.1788340809433246,0.1346775192378522
245,gpt-3.5-turbo-0125,reverse_prompting,rs_size_50,319,33.92279787620528,0.1729583361426069,0.06879836954098484
161,gemma:7b,generated_knowledge,rs_size_25,19,33.92447047020874,0.11231635682452908,0.0820864200763729
692,phi3:medium-128k,step_back_prompting,rs_size_25,296,34.00859198429397,0.0901615744584474,0.023830190312823962
234,gpt-3.5-turbo-0125,recursive_criticism_and_improvement,rs_size_50,372,34.01306316568914,0.10313170618838122,0.09638602225178539
684,phi3:medium-128k,self_consistency,rs_size_25,370,34.04355661232747,0.07833080977753189,0.019179840439190965
147,gemma:7b,chain_of_verification,rs_size_10,17,34.075270034753274,0.8602156148753705,0.10928657668268849
653,phi3:medium-128k,chain_of_thought,rs_size_25,176,34.1280039318721,0.09173989819229451,0.03421765343666783
27,claude-3-5-sonnet-20240620,generated_knowledge,rs_size_25,375,34.13437496674659,0.062235675248827275,0.014796545556646556
3,claude-3-5-sonnet-20240620,chain_of_thought,rs_size_25,375,34.325106189616115,0.047625784667218,0.006863216836523467
438,llama3:70b,step_back_prompting,rs_size_10,60,34.368461544866136,0.1211936924087246,0.059198104966659004
0,claude-3-5-sonnet-20240620,chain_of_thought,rs_size_10,375,34.371212595926764,0.0761662206733263,0.02715828252941499
682,phi3:medium-128k,reverse_prompting,rs_size_5,136,34.39369939403152,0.7548034127287473,0.622065545251699
460,llama3:8b,directional_stimuli,rs_size_5,141,34.44461296857182,0.6509919582314841,0.5280399799460718
6,claude-3-5-sonnet-20240620,chain_of_verification,rs_size_10,375,34.549458881283016,0.045201544713543054,0.006810708316059122
70,claude-3-5-sonnet-20240620,step_back_prompting,rs_size_5,375,34.65543304649031,0.04828972866375274,0.00922041650774763
155,gemma:7b,emotion_prompt,rs_size_10,7,34.714204163760144,1.6089950383865586,0.22182099815002254
382,llama3:70b,chain_of_verification,rs_size_25,90,34.72713260479278,0.07758135451398888,0.022887059479880234
542,mistral:7b,generated_knowledge,rs_size_5,107,34.743845051198264,0.21793741044134227,0.14866659288113504
118,claude-3-sonnet-20240229,rephrase_and_respond,rs_size_5,375,34.80855652633696,0.11701726896306368,0.0640874098165174
671,phi3:medium-128k,least_to_most,rs_size_25,270,34.81324866375203,0.06523962293636214,0.01567193494915342
86,claude-3-sonnet-20240229,directional_stimuli,rs_size_150,375,34.89759006068318,0.31875719632527133,0.42193564836558417
195,gpt-3.5-turbo-0125,chain_of_thought,rs_size_100,193,34.919038526189134,0.3814464893095773,0.15318275731740694
214,gpt-3.5-turbo-0125,emotion_prompt,rs_size_25,368,34.91962809062646,0.1987870537841053,0.20908351866048402
131,claude-3-sonnet-20240229,self_consistency,rs_size_50,350,34.94775905742767,0.03219909034159833,0.0016951033136585192
400,llama3:70b,generated_knowledge,rs_size_25,228,34.979777809529025,0.0806840789031539,0.023284473976271647
594,mixtral:8x22b,directional_stimuli,rs_size_150,236,35.00817958921032,0.6272405263588022,1.00958218421696
114,claude-3-sonnet-20240229,rephrase_and_respond,rs_size_10,375,35.00933204790644,0.12906509999032248,0.13422371467938365
514,llama3:8b,step_back_prompting,rs_size_5,48,35.07333083027671,0.9749318809094536,0.6282402691317166
436,llama3:70b,skeleton_of_thought,rs_size_25,30,35.09161140312998,0.14362367013270108,0.0885445711424695
337,llama2:13b,chain_of_thought,rs_size_5,55,35.123087370995435,0.9765909310479467,0.4020831497783923
528,mistral:7b,directional_stimuli,rs_size_10,75,35.12907728857563,0.2077997380828278,0.09938721642891934
362,llama2:13b,reverse_prompting,rs_size_10,71,35.13704047551188,1.2438932270895773,0.0984815211010035
374,llama3:70b,chain_of_thought,rs_size_10,42,35.21062006530773,0.12870587653172888,0.06315487047467294
664,phi3:medium-128k,emotion_prompt,rs_size_25,373,35.2263895462978,0.07752323121089409,0.024178564065340247
585,mixtral:8x22b,chain_of_thought,rs_size_50,224,35.231084066174446,0.14910526215696934,0.059924996296141675
380,llama3:70b,chain_of_verification,rs_size_100,50,35.24095658477989,0.09905928450406483,0.07668716575120449
57,claude-3-5-sonnet-20240620,self_consistency,rs_size_25,375,35.26845636015291,0.04792765274558692,0.0070166982726025395
212,gpt-3.5-turbo-0125,emotion_prompt,rs_size_100,371,35.29370088507912,0.287327964411098,0.4641533309535034
644,mixtral:8x22b,skeleton_of_thought,rs_size_5,99,35.304278630895354,0.45432140718527103,0.3444335122594572
406,llama3:70b,least_to_most,rs_size_25,51,35.309819460399936,0.08499467768751519,0.027219843007463274
89,claude-3-sonnet-20240229,directional_stimuli,rs_size_50,375,35.33861235373168,0.3140422788247451,0.528638986496874
657,phi3:medium-128k,chain_of_verification,rs_size_25,227,35.37021168500743,0.09276041664683073,0.03285061475991946
59,claude-3-5-sonnet-20240620,self_consistency,rs_size_50,375,35.42292581458204,0.02966482446575259,0.0012367598055671447
23,claude-3-5-sonnet-20240620,emotion_prompt,rs_size_50,375,35.42365482993103,0.18467633513993814,0.1903994995290097
359,llama2:13b,rephrase_and_respond,rs_size_25,168,35.43088449953402,0.10041289932645983,0.0064337733269119735
481,llama3:8b,recursive_criticism_and_improvement,rs_size_100,45,35.51414815560566,0.22422490403412798,0.23646226812700077
423,llama3:70b,reverse_prompting,rs_size_150,11,35.51565403788831,0.09617795679638737,0.03462106539896803
505,llama3:8b,skeleton_of_thought,rs_size_100,334,35.51588039322685,0.23843124425950585,0.10900425015283632
482,llama3:8b,recursive_criticism_and_improvement,rs_size_150,30,35.54375721107968,0.5566083719700676,0.45926870219353144
348,llama2:13b,generated_knowledge,rs_size_25,123,35.54880117216074,0.04051917536296736,0.00268775408063604
611,mixtral:8x22b,least_to_most,rs_size_100,322,35.55438643547567,0.3045940070680377,0.2281503608646709
200,gpt-3.5-turbo-0125,chain_of_verification,rs_size_100,200,35.56432951066287,0.1970013768696423,0.2448954513386261
379,llama3:70b,chain_of_verification,rs_size_10,59,35.57884823864447,0.07242195916760692,0.03861841615247119
412,llama3:70b,recursive_criticism_and_improvement,rs_size_25,134,35.59932548153127,0.08034137647729973,0.022549913855958392
521,mistral:7b,chain_of_thought,rs_size_50,64,35.60081910192693,0.1711997832365393,0.04666801913572449
197,gpt-3.5-turbo-0125,chain_of_thought,rs_size_25,196,35.62925834736681,0.06301934957501368,0.014533979185150647
85,claude-3-sonnet-20240229,directional_stimuli,rs_size_100,375,35.629438067434585,0.4251439887560033,0.7627368416687595
531,mistral:7b,directional_stimuli,rs_size_5,55,35.6527431974291,0.7408407410961483,0.6231606786568681
487,llama3:8b,rephrase_and_respond,rs_size_100,315,35.69056869811048,0.2647409289514074,0.1922171685166485
355,llama2:13b,recursive_criticism_and_improvement,rs_size_25,78,35.75496061439729,0.050123730112022855,0.006564148032136341
408,llama3:70b,least_to_most,rs_size_50,44,35.757788579799914,0.16148198720745327,0.16219485397469535
463,llama3:8b,emotion_prompt,rs_size_100,332,35.77172937359934,0.35283186120000243,0.29411231403232374
377,llama3:70b,chain_of_thought,rs_size_25,86,35.7740964843233,0.11330407901716737,0.04572628654448008
515,llama3:8b,step_back_prompting,rs_size_50,10,35.84190462311898,0.19288021123478435,0.11475237533474525
641,mixtral:8x22b,skeleton_of_thought,rs_size_100,242,35.848384701426376,0.21913910768975078,0.17887443586859786
29,claude-3-5-sonnet-20240620,generated_knowledge,rs_size_50,375,35.8777488376513,0.045754126567119635,0.0029810757524937337
424,llama3:70b,reverse_prompting,rs_size_25,10,35.91121934117283,0.09987068565106672,0.05440340038390867
358,llama2:13b,rephrase_and_respond,rs_size_10,130,35.91769907059248,0.10958363942647073,0.043714947256119574
236,gpt-3.5-turbo-0125,rephrase_and_respond,rs_size_100,372,35.924971511782175,0.22672943332840334,0.3706784699422312
28,claude-3-5-sonnet-20240620,generated_knowledge,rs_size_5,375,35.96446505256907,0.058875647656686146,0.012709866957873128
421,llama3:70b,reverse_prompting,rs_size_10,21,35.964836872417536,0.1251158817395599,0.0626336070297202
344,llama2:13b,emotion_prompt,rs_size_25,55,35.983249538004266,0.04495334027528512,0.004626078944168777
442,llama3:70b,step_back_prompting,rs_size_5,34,35.99002897140992,0.12533109419488955,0.10050953718900679
566,mistral:7b,self_consistency,rs_size_10,62,35.99736282621569,0.11220592544657011,0.04285490064214614
605,mixtral:8x22b,generated_knowledge,rs_size_100,343,36.057660067938215,0.23709526903212724,0.3916443329946412
461,llama3:8b,directional_stimuli,rs_size_50,168,36.0697862411,0.22811240880077627,0.0961338392657185
520,mistral:7b,chain_of_thought,rs_size_5,96,36.12326728937778,0.34830959208738405,0.2367479240555106
240,gpt-3.5-turbo-0125,rephrase_and_respond,rs_size_50,370,36.14797019991896,0.1347030081247201,0.07928438167710672
14,claude-3-5-sonnet-20240620,directional_stimuli,rs_size_150,375,36.16615274618055,0.18490546995419171,0.30998208780642966
458,llama3:8b,directional_stimuli,rs_size_150,259,36.18631835263098,0.7275985742450815,0.6015412929889294
624,mixtral:8x22b,rephrase_and_respond,rs_size_150,368,36.280400339276895,0.372790240304717,0.7838958792766282
556,mistral:7b,rephrase_and_respond,rs_size_100,119,36.29008659657882,0.22011198196287607,0.23683676170105428
663,phi3:medium-128k,emotion_prompt,rs_size_10,373,36.29032132212271,0.19194335150986705,0.09130741423755451
13,claude-3-5-sonnet-20240620,directional_stimuli,rs_size_100,375,36.29644874247267,0.16102739952383122,0.2893285823884506
224,gpt-3.5-turbo-0125,least_to_most,rs_size_100,365,36.31437207225846,0.16487284325867257,0.18203309708129978
218,gpt-3.5-turbo-0125,generated_knowledge,rs_size_100,366,36.35585983846227,0.17655915965068716,0.18395441408110402
91,claude-3-sonnet-20240229,emotion_prompt,rs_size_100,375,36.364563602946816,0.3310774984696249,0.45244042088114933
476,llama3:8b,least_to_most,rs_size_150,48,36.36723594323006,0.8523629184643602,0.6978460886281517
259,gpt-3.5-turbo-0125,step_back_prompting,rs_size_100,345,36.368267871408804,0.1260161259843459,0.11281934358284618
230,gpt-3.5-turbo-0125,recursive_criticism_and_improvement,rs_size_100,365,36.38676483472826,0.2920575878727509,0.44232482151520147
253,gpt-3.5-turbo-0125,skeleton_of_thought,rs_size_100,368,36.39292706366379,0.19350221319996433,0.2704886496707166
554,mistral:7b,recursive_criticism_and_improvement,rs_size_5,47,36.4020142366485,0.5441037125306786,0.6680904479946308
538,mistral:7b,emotion_prompt,rs_size_50,55,36.42230160229433,0.11484343213426394,0.05441512914239999
623,mixtral:8x22b,rephrase_and_respond,rs_size_100,303,36.42927523846303,0.18146447771025306,0.14929689422528014
15,claude-3-5-sonnet-20240620,directional_stimuli,rs_size_25,375,36.496509900223415,0.07908072458553092,0.02742668615161814
108,claude-3-sonnet-20240229,recursive_criticism_and_improvement,rs_size_10,249,36.50475483366427,0.17395157880073558,0.09666918967427729
277,gpt-4o,directional_stimuli,rs_size_150,375,36.512219259814835,0.23945783735414242,0.2697958848585178
647,mixtral:8x22b,step_back_prompting,rs_size_100,274,36.53209825252301,0.22845991244834485,0.3291745421483733
72,claude-3-sonnet-20240229,chain_of_thought,rs_size_10,225,36.548184646126316,0.14833711015260814,0.06447512365926644
600,mixtral:8x22b,emotion_prompt,rs_size_150,337,36.55288716783625,0.4749605404054346,0.7004225029272789
109,claude-3-sonnet-20240229,recursive_criticism_and_improvement,rs_size_100,375,36.55698643085471,0.19875812095950238,0.16086848380331276
251,gpt-3.5-turbo-0125,self_consistency,rs_size_50,372,36.57307374641569,0.09015276903273912,0.03155338973405897
145,gemma:7b,chain_of_thought,rs_size_25,10,36.60365302074622,0.08367572600238933,0.021465543712504642
386,llama3:70b,directional_stimuli,rs_size_100,298,36.606257701989065,0.177220341771334,0.11179740728658638
17,claude-3-5-sonnet-20240620,directional_stimuli,rs_size_50,375,36.61378650063774,0.10267969804775742,0.09829263241504038
276,gpt-4o,directional_stimuli,rs_size_100,374,36.62843381923888,0.19853086980087248,0.1740963818288448
37,claude-3-5-sonnet-20240620,recursive_criticism_and_improvement,rs_size_100,375,36.637490886836886,0.1833105172773621,0.2436726232470956
648,mixtral:8x22b,step_back_prompting,rs_size_150,313,36.647569968826055,0.42245243916972935,0.8160833432870673
656,phi3:medium-128k,chain_of_verification,rs_size_10,183,36.649284784579905,0.15771346633652691,0.11376807523083898
642,mixtral:8x22b,skeleton_of_thought,rs_size_150,342,36.671223117826266,0.37656454603412454,0.8205820491377408
19,claude-3-5-sonnet-20240620,emotion_prompt,rs_size_100,375,36.69978718947815,0.2588158269516788,0.3917226546909567
564,mistral:7b,reverse_prompting,rs_size_5,49,36.725035503738994,0.7270245500822542,0.23698865252139534
610,mixtral:8x22b,least_to_most,rs_size_10,274,36.797489447836796,0.14902733334973325,0.09296341965267807
591,mixtral:8x22b,chain_of_verification,rs_size_50,238,36.80227642576821,0.9302854819205846,0.3107150630588247
115,claude-3-sonnet-20240229,rephrase_and_respond,rs_size_100,375,36.81700873316977,0.2109148735783531,0.2619100558948002
